,Mkt-RF,SMB,HML
196711,0.37,0.18,-1.71
196712,3.05,5.62,-0.54
196801,-4.03,3.99,4.85
196802,-3.74,-2.94,1.23
196803,0.21,-1.3,-0.63
196804,9.02,5.66,-1.1
196805,2.28,6.29,0.82
196806,0.7,-0.19,0.66
196807,-2.69,-1.28,5.31
196808,1.35,2.42,0.99
196809,4.05,2.74,0.3
196810,0.43,-0.5,2.82
196811,5.43,2.34,-0.96
196812,-3.93,3.36,0.04
196901,-1.25,-0.63,1.66
196902,-5.86,-3.96,0.89
196903,2.66,-0.3,-0.42
196904,1.46,-0.81,0.02
196905,-0.09,-0.32,0.62
196906,-7.19,-5.34,-1.1
196907,-7,-3.24,1.18
196908,4.69,0.81,-3.75
196909,-2.97,1.23,-3.22
196910,5.06,3.92,-3.12
196911,-3.8,-2.55,-1.25
196912,-2.63,-3.68,-2.88
197001,-8.1,2.91,3.17
197002,5.14,-2.39,3.69
197003,-1.06,-2.31,4.08
197004,-10.99,-6.14,6.14
197005,-6.9,-4.61,3.32
197006,-5.8,-2.08,0.44
197007,6.92,-0.55,0.93
197008,4.5,1.48,1.41
197009,4.18,8.61,-5.41
197010,-2.27,-4.17,0.21
197011,4.62,-3.97,1.58
197012,5.74,2.82,1.04
197101,4.83,7.28,1.55
197102,1.41,1.86,-1.24
197103,4.12,2.6,-3.95
197104,3.15,-0.49,0.86
197105,-3.99,-1.04,-1.33
197106,-0.09,-1.53,-1.97
197107,-4.49,-1.51,-0.02
197108,3.79,-0.22,2.64
197109,-0.86,0.5,-2.9
197110,-4.42,-1.75,-0.51
197111,-0.46,-2.77,-1.67
197112,8.71,3.29,-0.38
197201,2.47,5.84,2.12
197202,2.87,1.32,-2.83
197203,0.62,-0.29,-1.61
197204,0.29,0.16,0.03
197205,1.29,-2.71,-2.72
197206,-2.43,0.28,-2.46
197207,-0.8,-2.9,0.6
197208,3.27,-3.99,4.56
197209,-1.14,-2.66,0.49
197210,0.52,-2.73,1.22
197211,4.6,-1.18,4.88
197212,0.62,-1.95,-2.18
197301,-3.27,-3.49,2.7
197302,-4.85,-3.89,1.64
